year,classification,female,male,non-binary
1987,All,70.0,364.0,0.0
1987,Architecture,0.0,3.0,0.0
1987,Design,6.0,55.0,0.0
1987,Drawing,0.0,19.0,0.0
1987,Illustrated Book,3.0,25.0,0.0
1987,Installation,0.0,3.0,0.0
1987,Multiple,1.0,4.0,0.0
1987,Painting,4.0,7.0,0.0
1987,Photograph,16.0,54.0,0.0
1987,Print,36.0,182.0,0.0
1987,Sculpture,2.0,8.0,0.0
1987,Video,2.0,4.0,0.0
1988,All,59.0,246.0,0.0
1988,Architecture,0.0,3.0,0.0
1988,Design,5.0,32.0,0.0
1988,Drawing,5.0,33.0,0.0
1988,Illustrated Book,3.0,24.0,0.0
1988,Multiple,1.0,0.0,0.0
1988,Painting,2.0,4.0,0.0
1988,Photograph,12.0,56.0,0.0
1988,Print,18.0,73.0,0.0
1988,Sculpture,1.0,7.0,0.0
1988,Video,12.0,14.0,0.0
1989,All,32.0,214.0,0.0
1989,Architecture,0.0,3.0,0.0
1989,Design,1.0,6.0,0.0
1989,Drawing,1.0,12.0,0.0
1989,Illustrated Book,5.0,9.0,0.0
1989,Installation,1.0,1.0,0.0
1989,Multiple,0.0,2.0,0.0
1989,Painting,1.0,6.0,0.0
1989,Photograph,10.0,80.0,0.0
1989,Print,12.0,82.0,0.0
1989,Sculpture,0.0,5.0,0.0
1989,Video,1.0,8.0,0.0
1990,All,55.0,245.0,0.0
1990,Architecture,0.0,4.0,0.0
1990,Design,4.0,37.0,0.0
1990,Drawing,10.0,27.0,0.0
1990,Illustrated Book,4.0,16.0,0.0
1990,Installation,0.0,1.0,0.0
1990,Multiple,1.0,0.0,0.0
1990,Painting,3.0,15.0,0.0
1990,Photograph,12.0,47.0,0.0
1990,Print,15.0,85.0,0.0
1990,Sculpture,1.0,11.0,0.0
1990,Video,5.0,2.0,0.0
1991,All,51.0,219.0,0.0
1991,Architecture,0.0,2.0,0.0
1991,Design,1.0,8.0,0.0
1991,Drawing,0.0,26.0,0.0
1991,Illustrated Book,12.0,31.0,0.0
1991,Installation,0.0,2.0,0.0
1991,Painting,3.0,28.0,0.0
1991,Photograph,15.0,52.0,0.0
1991,Print,15.0,52.0,0.0
1991,Sculpture,3.0,14.0,0.0
1991,Video,2.0,4.0,0.0
1992,All,57.0,274.0,0.0
1992,Architecture,1.0,9.0,0.0
1992,Design,0.0,17.0,0.0
1992,Drawing,2.0,18.0,0.0
1992,Illustrated Book,3.0,42.0,0.0
1992,Installation,0.0,1.0,0.0
1992,Painting,4.0,16.0,0.0
1992,Photograph,24.0,94.0,0.0
1992,Print,19.0,64.0,0.0
1992,Sculpture,2.0,10.0,0.0
1992,Video,2.0,3.0,0.0
1993,All,51.0,211.0,0.0
1993,Architecture,0.0,7.0,0.0
1993,Design,3.0,16.0,0.0
1993,Drawing,3.0,14.0,0.0
1993,Illustrated Book,9.0,42.0,0.0
1993,Installation,1.0,1.0,0.0
1993,Painting,0.0,6.0,0.0
1993,Photograph,13.0,59.0,0.0
1993,Print,19.0,53.0,0.0
1993,Sculpture,1.0,7.0,0.0
1993,Video,2.0,6.0,0.0
1994,All,56.0,243.0,0.0
1994,Architecture,0.0,15.0,0.0
1994,Design,3.0,34.0,0.0
1994,Drawing,0.0,7.0,0.0
1994,Illustrated Book,3.0,12.0,0.0
1994,Installation,1.0,1.0,0.0
1994,Multiple,2.0,3.0,0.0
1994,Painting,5.0,20.0,0.0
1994,Photograph,20.0,69.0,0.0
1994,Print,15.0,51.0,0.0
1994,Sculpture,3.0,17.0,0.0
1994,Video,4.0,14.0,0.0
1995,All,48.0,169.0,0.0
1995,Architecture,0.0,3.0,0.0
1995,Design,5.0,32.0,0.0
1995,Drawing,6.0,15.0,0.0
1995,Illustrated Book,2.0,17.0,0.0
1995,Installation,0.0,2.0,0.0
1995,Multiple,3.0,3.0,0.0
1995,Painting,1.0,11.0,0.0
1995,Photograph,13.0,24.0,0.0
1995,Print,16.0,51.0,0.0
1995,Sculpture,2.0,8.0,0.0
1995,Video,0.0,3.0,0.0
1996,All,50.0,206.0,0.0
1996,Architecture,1.0,20.0,0.0
1996,Design,4.0,21.0,0.0
1996,Drawing,9.0,29.0,0.0
1996,Illustrated Book,6.0,13.0,0.0
1996,Installation,0.0,5.0,0.0
1996,Painting,2.0,20.0,0.0
1996,Photograph,7.0,37.0,0.0
1996,Print,18.0,44.0,0.0
1996,Sculpture,3.0,17.0,0.0
1997,All,64.0,241.0,0.0
1997,Architecture,0.0,12.0,0.0
1997,Design,3.0,25.0,0.0
1997,Drawing,6.0,20.0,0.0
1997,Illustrated Book,4.0,35.0,0.0
1997,Installation,0.0,3.0,0.0
1997,Multiple,4.0,6.0,0.0
1997,Painting,5.0,14.0,0.0
1997,Photograph,19.0,48.0,0.0
1997,Print,17.0,66.0,0.0
1997,Sculpture,4.0,9.0,0.0
1997,Video,2.0,3.0,0.0
1998,All,82.0,283.0,0.0
1998,Architecture,0.0,3.0,0.0
1998,Design,1.0,43.0,0.0
1998,Drawing,5.0,25.0,0.0
1998,Film,0.0,1.0,0.0
1998,Illustrated Book,5.0,10.0,0.0
1998,Installation,1.0,3.0,0.0
1998,Media,0.0,1.0,0.0
1998,Multiple,11.0,23.0,0.0
1998,Painting,1.0,19.0,0.0
1998,Photograph,13.0,45.0,0.0
1998,Print,37.0,87.0,0.0
1998,Sculpture,1.0,15.0,0.0
1998,Video,7.0,8.0,0.0
1999,All,63.0,230.0,0.0
1999,Architecture,0.0,5.0,0.0
1999,Design,1.0,49.0,0.0
1999,Drawing,12.0,38.0,0.0
1999,Film,0.0,1.0,0.0
1999,Illustrated Book,5.0,11.0,0.0
1999,Multiple,5.0,6.0,0.0
1999,Painting,0.0,18.0,0.0
1999,Photograph,6.0,31.0,0.0
1999,Print,21.0,50.0,0.0
1999,Sculpture,2.0,10.0,0.0
1999,Video,11.0,11.0,0.0
2000,All,56.0,229.0,1.0
2000,Architecture,1.0,25.0,0.0
2000,Design,6.0,95.0,0.0
2000,Drawing,8.0,25.0,0.0
2000,Illustrated Book,0.0,7.0,0.0
2000,Installation,2.0,1.0,0.0
2000,Multiple,2.0,9.0,0.0
2000,Painting,1.0,6.0,0.0
2000,Photograph,6.0,14.0,0.0
2000,Print,18.0,25.0,0.0
2000,Sculpture,0.0,7.0,0.0
2000,Video,12.0,15.0,1.0
2001,All,130.0,626.0,0.0
2001,Architecture,0.0,8.0,0.0
2001,Design,7.0,75.0,0.0
2001,Drawing,20.0,68.0,0.0
2001,Graphic Design,0.0,1.0,0.0
2001,Illustrated Book,30.0,170.0,0.0
2001,Installation,2.0,2.0,0.0
2001,Multiple,2.0,16.0,0.0
2001,Painting,2.0,6.0,0.0
2001,Periodical,1.0,7.0,0.0
2001,Photograph,34.0,202.0,0.0
2001,Print,27.0,59.0,0.0
2001,Sculpture,2.0,10.0,0.0
2001,Video,3.0,2.0,0.0
2002,All,51.0,144.0,0.0
2002,Architecture,0.0,3.0,0.0
2002,Design,0.0,16.0,0.0
2002,Drawing,8.0,33.0,0.0
2002,Film,0.0,1.0,0.0
2002,Illustrated Book,9.0,11.0,0.0
2002,Installation,1.0,1.0,0.0
2002,Multiple,0.0,3.0,0.0
2002,Painting,6.0,16.0,0.0
2002,Photograph,8.0,22.0,0.0
2002,Print,16.0,31.0,0.0
2002,Sculpture,1.0,6.0,0.0
2002,Video,2.0,1.0,0.0
2003,All,43.0,127.0,0.0
2003,Architecture,0.0,11.0,0.0
2003,Design,1.0,12.0,0.0
2003,Drawing,11.0,25.0,0.0
2003,Illustrated Book,1.0,7.0,0.0
2003,Installation,2.0,0.0,0.0
2003,Multiple,0.0,8.0,0.0
2003,Painting,0.0,4.0,0.0
2003,Photograph,5.0,10.0,0.0
2003,Print,15.0,38.0,0.0
2003,Sculpture,3.0,6.0,0.0
2003,Video,5.0,6.0,0.0
2004,All,75.0,180.0,0.0
2004,Architecture,1.0,8.0,0.0
2004,Design,0.0,15.0,0.0
2004,Drawing,34.0,65.0,0.0
2004,Film,0.0,1.0,0.0
2004,Illustrated Book,1.0,3.0,0.0
2004,Installation,5.0,8.0,0.0
2004,Multiple,1.0,0.0,0.0
2004,Painting,5.0,9.0,0.0
2004,Photograph,11.0,27.0,0.0
2004,Print,8.0,28.0,0.0
2004,Sculpture,5.0,9.0,0.0
2004,Video,4.0,7.0,0.0
2005,All,255.0,709.0,0.0
2005,Architecture,1.0,6.0,0.0
2005,Design,2.0,33.0,0.0
2005,Drawing,189.0,478.0,0.0
2005,Film,0.0,1.0,0.0
2005,Illustrated Book,3.0,6.0,0.0
2005,Installation,1.0,14.0,0.0
2005,Multiple,5.0,11.0,0.0
2005,Painting,11.0,25.0,0.0
2005,Photograph,6.0,26.0,0.0
2005,Print,20.0,55.0,0.0
2005,Sculpture,12.0,21.0,0.0
2005,Video,5.0,11.0,0.0
2005,Work on Paper,0.0,22.0,0.0
2006,All,136.0,404.0,0.0
2006,Architecture,1.0,2.0,0.0
2006,Design,6.0,41.0,0.0
2006,Drawing,15.0,33.0,0.0
2006,Film,0.0,1.0,0.0
2006,Illustrated Book,3.0,8.0,0.0
2006,Installation,0.0,6.0,0.0
2006,Multiple,3.0,10.0,0.0
2006,Painting,3.0,8.0,0.0
2006,Photograph,9.0,34.0,0.0
2006,Print,91.0,249.0,0.0
2006,Sculpture,3.0,7.0,0.0
2006,Video,2.0,5.0,0.0
2007,All,83.0,310.0,0.0
2007,Architecture,0.0,3.0,0.0
2007,Audio,0.0,1.0,0.0
2007,Design,5.0,19.0,0.0
2007,Drawing,9.0,44.0,0.0
2007,Ephemera,0.0,1.0,0.0
2007,Film,1.0,0.0,0.0
2007,Illustrated Book,0.0,18.0,0.0
2007,Installation,10.0,23.0,0.0
2007,Multiple,1.0,12.0,0.0
2007,Painting,3.0,8.0,0.0
2007,Photograph,11.0,37.0,0.0
2007,Poster,0.0,1.0,0.0
2007,Print,33.0,117.0,0.0
2007,Sculpture,4.0,10.0,0.0
2007,Textile,0.0,1.0,0.0
2007,Video,5.0,11.0,0.0
2007,Work on Paper,1.0,4.0,0.0
2008,(not assigned),4.0,29.0,0.0
2008,All,130.0,609.0,0.0
2008,Architecture,0.0,3.0,0.0
2008,Audio,2.0,36.0,0.0
2008,Design,2.0,29.0,0.0
2008,Drawing,22.0,89.0,0.0
2008,Ephemera,0.0,6.0,0.0
2008,Film,2.0,13.0,0.0
2008,Illustrated Book,9.0,36.0,0.0
2008,Installation,11.0,31.0,0.0
2008,Media,1.0,4.0,0.0
2008,Multiple,11.0,55.0,0.0
2008,Painting,5.0,19.0,0.0
2008,Performance,0.0,2.0,0.0
2008,Periodical,1.0,3.0,0.0
2008,Photograph,17.0,87.0,0.0
2008,Poster,0.0,3.0,0.0
2008,Print,19.0,98.0,0.0
2008,Sculpture,11.0,33.0,0.0
2008,Textile,0.0,5.0,0.0
2008,Video,13.0,28.0,0.0
2009,All,70.0,182.0,0.0
2009,Architecture,1.0,5.0,0.0
2009,Design,3.0,20.0,0.0
2009,Drawing,13.0,14.0,0.0
2009,Film,0.0,1.0,0.0
2009,Illustrated Book,3.0,5.0,0.0
2009,Installation,9.0,13.0,0.0
2009,Multiple,1.0,4.0,0.0
2009,Painting,5.0,7.0,0.0
2009,Performance,0.0,2.0,0.0
2009,Photograph,9.0,59.0,0.0
2009,Print,17.0,43.0,0.0
2009,Sculpture,2.0,4.0,0.0
2009,Video,7.0,5.0,0.0
2010,(not assigned),0.0,1.0,0.0
2010,All,84.0,218.0,0.0
2010,Architecture,0.0,7.0,0.0
2010,Audio,1.0,0.0,0.0
2010,Design,5.0,44.0,0.0
2010,Drawing,13.0,31.0,0.0
2010,Illustrated Book,1.0,9.0,0.0
2010,Installation,1.0,6.0,0.0
2010,Multiple,3.0,9.0,0.0
2010,Painting,5.0,12.0,0.0
2010,Periodical,2.0,25.0,0.0
2010,Photograph,16.0,30.0,0.0
2010,Print,32.0,30.0,0.0
2010,Sculpture,5.0,12.0,0.0
2010,Video,0.0,2.0,0.0
2011,All,114.0,262.0,0.0
2011,Architecture,0.0,3.0,0.0
2011,Audio,1.0,2.0,0.0
2011,Collage,1.0,3.0,0.0
2011,Design,19.0,24.0,0.0
2011,Drawing,19.0,44.0,0.0
2011,Ephemera,2.0,3.0,0.0
2011,Illustrated Book,5.0,29.0,0.0
2011,Installation,11.0,18.0,0.0
2011,Multiple,3.0,8.0,0.0
2011,Painting,4.0,18.0,0.0
2011,Photograph,23.0,38.0,0.0
2011,Print,10.0,38.0,0.0
2011,Sculpture,9.0,24.0,0.0
2011,Textile,1.0,1.0,0.0
2011,Video,6.0,9.0,0.0
2012,All,105.0,234.0,0.0
2012,Architecture,2.0,13.0,0.0
2012,Design,4.0,43.0,0.0
2012,Drawing,13.0,32.0,0.0
2012,Ephemera,1.0,1.0,0.0
2012,Film,0.0,2.0,0.0
2012,Frank Lloyd Wright Archive,0.0,1.0,0.0
2012,Graphic Design,0.0,1.0,0.0
2012,Illustrated Book,10.0,12.0,0.0
2012,Installation,6.0,11.0,0.0
2012,Media,1.0,0.0,0.0
2012,Multiple,4.0,7.0,0.0
2012,Painting,3.0,13.0,0.0
2012,Performance,0.0,1.0,0.0
2012,Periodical,1.0,0.0,0.0
2012,Photograph,21.0,31.0,0.0
2012,Print,20.0,41.0,0.0
2012,Sculpture,9.0,12.0,0.0
2012,Textile,2.0,0.0,0.0
2012,Video,8.0,6.0,0.0
2012,Work on Paper,0.0,7.0,0.0
2013,(not assigned),0.0,1.0,0.0
2013,All,105.0,316.0,0.0
2013,Architecture,1.0,8.0,0.0
2013,Audio,21.0,72.0,0.0
2013,Design,1.0,23.0,0.0
2013,Drawing,8.0,29.0,0.0
2013,Film,2.0,2.0,0.0
2013,Illustrated Book,1.0,11.0,0.0
2013,Installation,7.0,14.0,0.0
2013,Media,0.0,1.0,0.0
2013,Multiple,3.0,5.0,0.0
2013,Painting,4.0,13.0,0.0
2013,Periodical,0.0,1.0,0.0
2013,Photograph,28.0,39.0,0.0
2013,Poster,0.0,9.0,0.0
2013,Print,12.0,47.0,0.0
2013,Sculpture,12.0,17.0,0.0
2013,Video,4.0,10.0,0.0
2013,Work on Paper,1.0,14.0,0.0
2014,All,77.0,239.0,1.0
2014,Architecture,0.0,20.0,0.0
2014,Audio,1.0,0.0,0.0
2014,Design,5.0,37.0,0.0
2014,Drawing,13.0,27.0,0.0
2014,Ephemera,0.0,1.0,0.0
2014,Film,2.0,1.0,0.0
2014,Illustrated Book,4.0,14.0,0.0
2014,Installation,3.0,17.0,0.0
2014,Media,0.0,1.0,0.0
2014,Multiple,4.0,12.0,0.0
2014,Painting,5.0,13.0,0.0
2014,Performance,0.0,1.0,0.0
2014,Photograph,19.0,42.0,0.0
2014,Print,10.0,36.0,0.0
2014,Sculpture,3.0,10.0,1.0
2014,Video,8.0,7.0,0.0
2015,All,116.0,459.0,0.0
2015,Architecture,2.0,15.0,0.0
2015,Design,29.0,222.0,0.0
2015,Drawing,10.0,23.0,0.0
2015,Ephemera,1.0,0.0,0.0
2015,Film,0.0,3.0,0.0
2015,Graphic Design,0.0,1.0,0.0
2015,Illustrated Book,6.0,12.0,0.0
2015,Installation,3.0,7.0,0.0
2015,Multiple,0.0,10.0,0.0
2015,Painting,6.0,11.0,0.0
2015,Performance,1.0,0.0,0.0
2015,Periodical,0.0,2.0,0.0
2015,Photograph,19.0,41.0,0.0
2015,Poster,0.0,1.0,0.0
2015,Print,29.0,87.0,0.0
2015,Sculpture,5.0,12.0,0.0
2015,Video,5.0,12.0,0.0
2016,All,93.0,268.0,0.0
2016,Architecture,2.0,9.0,0.0
2016,Design,10.0,49.0,0.0
2016,Drawing,18.0,16.0,0.0
2016,Ephemera,1.0,0.0,0.0
2016,Film,0.0,4.0,0.0
2016,Illustrated Book,3.0,12.0,0.0
2016,Installation,3.0,11.0,0.0
2016,Multiple,3.0,7.0,0.0
2016,Painting,11.0,39.0,0.0
2016,Photograph,17.0,65.0,0.0
2016,Print,15.0,33.0,0.0
2016,Sculpture,4.0,14.0,0.0
2016,Textile,0.0,2.0,0.0
2016,Video,6.0,6.0,0.0
2016,Work on Paper,0.0,1.0,0.0
2017,All,116.0,192.0,1.0
2017,Architecture,1.0,2.0,0.0
2017,Audio,0.0,2.0,0.0
2017,Collage,0.0,1.0,0.0
2017,Design,6.0,9.0,0.0
2017,Drawing,10.0,22.0,0.0
2017,Ephemera,1.0,2.0,0.0
2017,Film,0.0,3.0,0.0
2017,Furniture and Interiors,1.0,0.0,0.0
2017,Illustrated Book,6.0,11.0,0.0
2017,Installation,8.0,10.0,1.0
2017,Multiple,7.0,8.0,0.0
2017,Painting,9.0,12.0,0.0
2017,Performance,0.0,1.0,0.0
2017,Photograph,29.0,53.0,0.0
2017,Poster,1.0,0.0,0.0
2017,Print,16.0,28.0,0.0
2017,Sculpture,11.0,12.0,0.0
2017,Software,1.0,0.0,0.0
2017,Textile,1.0,1.0,0.0
2017,Video,8.0,15.0,0.0
2018,All,157.0,403.0,1.0
2018,Architecture,2.0,29.0,0.0
2018,Design,20.0,70.0,0.0
2018,Drawing,52.0,169.0,0.0
2018,Ephemera,0.0,3.0,0.0
2018,Illustrated Book,3.0,9.0,0.0
2018,Installation,4.0,9.0,0.0
2018,Multiple,4.0,9.0,0.0
2018,Painting,9.0,9.0,0.0
2018,Periodical,2.0,1.0,0.0
2018,Photograph,28.0,53.0,0.0
2018,Print,21.0,32.0,0.0
2018,Sculpture,5.0,4.0,0.0
2018,Video,7.0,6.0,1.0
2019,(not assigned),1.0,0.0,0.0
2019,All,81.0,109.0,0.0
2019,Architectural Model,1.0,0.0,0.0
2019,Architecture,0.0,6.0,0.0
2019,Audio,1.0,1.0,0.0
2019,Design,7.0,5.0,0.0
2019,Drawing,7.0,16.0,0.0
2019,Ephemera,0.0,1.0,0.0
2019,Film,2.0,0.0,0.0
2019,Graphic Design,1.0,0.0,0.0
2019,Illustrated Book,1.0,7.0,0.0
2019,Installation,2.0,4.0,0.0
2019,Multiple,2.0,0.0,0.0
2019,Painting,11.0,6.0,0.0
2019,Performance,0.0,1.0,0.0
2019,Photograph,27.0,37.0,0.0
2019,Print,12.0,12.0,0.0
2019,Sculpture,1.0,8.0,0.0
2019,Video,4.0,4.0,0.0
2019,Work on Paper,1.0,1.0,0.0
2020,All,78.0,59.0,1.0
2020,Architecture,0.0,4.0,0.0
2020,Audio,0.0,1.0,0.0
2020,Design,1.0,1.0,0.0
2020,Document,1.0,0.0,0.0
2020,Drawing,9.0,6.0,0.0
2020,Illustrated Book,2.0,5.0,0.0
2020,Installation,3.0,2.0,0.0
2020,Multiple,1.0,2.0,0.0
2020,Notebook,0.0,1.0,0.0
2020,Painting,1.0,9.0,0.0
2020,Photograph,38.0,11.0,0.0
2020,Print,17.0,13.0,0.0
2020,Publication,1.0,0.0,0.0
2020,Sculpture,1.0,2.0,0.0
2020,Video,3.0,2.0,1.0
2021,All,108.0,93.0,0.0
2021,Architecture,1.0,4.0,0.0
2021,Design,5.0,11.0,0.0
2021,Drawing,10.0,9.0,0.0
2021,Film,1.0,0.0,0.0
2021,Illustrated Book,0.0,2.0,0.0
2021,Installation,5.0,2.0,0.0
2021,Multiple,2.0,3.0,0.0
2021,Painting,11.0,13.0,0.0
2021,Photograph,54.0,34.0,0.0
2021,Print,13.0,6.0,0.0
2021,Sculpture,4.0,6.0,0.0
2021,Video,2.0,3.0,0.0
2022,All,47.0,76.0,0.0
2022,Collage,1.0,0.0,0.0
2022,Design,1.0,0.0,0.0
2022,Drawing,7.0,11.0,0.0
2022,Illustrated Book,0.0,2.0,0.0
2022,Installation,3.0,3.0,0.0
2022,Media,1.0,0.0,0.0
2022,Multiple,0.0,1.0,0.0
2022,Notebook,0.0,1.0,0.0
2022,Painting,9.0,6.0,0.0
2022,Photograph,5.0,34.0,0.0
2022,Print,10.0,10.0,0.0
2022,Sculpture,6.0,5.0,0.0
2022,Textile,2.0,0.0,0.0
2022,Video,2.0,3.0,0.0
